"Algeria","Argentina","Australia","Austria","Bahamas","Bangladesh","Belarus","Belgium","Bolivia","Botswana","Brazil","Brunei Darussalam","Bulgaria","Burkina Faso","Canada","Chile","China","Colombia","Costa Rica","Cuba","Cyprus","Denmark","Ecuador","Egypt","Ethiopia","Finland","France","Ghana","Greece","Guyana","Hungary","Iceland","India","Indonesia","Ireland","Israel","Italy","Jamaica","Japan","Jordan","Kenya","Kuwait","Libya","Luxembourg","Malaysia","Mali","Malta","Mexico","Nepal","Netherlands","New Zealand","Nigeria","Norway","Pakistan","Panama","Paraguay","Peru","Philippines","Poland","Portugal","Russian Federation","Singapore","Spain","Sri Lanka","Sudan","Sweden","Syrian Arab Republic","Tanzania","Thailand","Togo","Trinidad and Tobago","UK","Ukraine","Uruguay","USA","Venezuela","Zambia"
"3444",1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,1,1,1,2,2,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,3,1,1,3,1,1
"3445",1,1,2,2,1,1,1,2,1,1,1,1,1,1,2,1,NA,1,1,1,1,2,1,1,1,2,NA,1,2,1,1,2,1,1,2,2,2,1,2,1,1,1,1,2,1,1,2,1,1,2,2,1,2,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,3,1,1,3,1,1
"3450",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1
"3469",1,1,1,1,1,1,1,3,1,1,1,1,1,1,3,1,2,1,2,1,1,1,1,1,1,1,3,1,1,1,1,2,1,1,1,3,3,1,3,1,1,1,1,3,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,3,1,1,2,1,1,1,1,1,1,1,1,3,1,1,3,1,1
"3478",1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,3,1,2,1,1,2,1,1,1,2,2,1,3,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,3,1,1,3,1,1
"3488",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1
"3496",1,1,1,1,1,NA,1,2,1,1,1,2,1,1,2,2,1,1,2,1,1,1,NA,2,1,1,2,1,2,1,1,1,1,1,1,3,2,2,2,2,1,1,1,2,1,1,2,1,1,2,1,1,1,1,NA,NA,1,1,NA,2,1,2,2,2,1,1,1,1,NA,2,2,2,1,1,3,1,1
"3500",1,1,3,1,NA,NA,1,3,1,1,1,2,1,1,3,1,1,1,2,1,1,3,1,2,1,1,3,1,2,1,1,2,1,1,2,3,3,1,3,1,2,1,1,3,1,1,2,1,1,3,3,NA,3,1,3,1,1,2,2,3,1,2,1,1,1,1,1,1,2,2,1,3,1,1,3,1,1
"3517",1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,1,NA
"3525",2,2,1,1,1,2,1,1,1,1,2,1,1,2,1,2,1,2,1,2,1,1,2,2,2,1,1,2,1,2,1,1,2,2,1,1,1,2,1,2,2,NA,1,1,2,1,1,2,1,1,1,2,1,2,NA,1,2,2,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,2
"3544",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3565",1,1,3,2,2,1,1,3,1,1,1,1,2,1,3,1,1,1,3,1,1,3,1,1,1,2,3,1,2,1,2,3,1,1,3,3,3,2,2,1,1,1,1,3,1,1,2,1,1,3,3,1,3,1,NA,2,1,1,3,3,1,2,2,1,1,2,1,1,1,1,1,3,1,2,3,1,1
"3566",1,2,3,2,2,1,1,3,1,1,2,1,2,1,3,2,1,2,2,1,1,3,2,2,2,3,3,1,1,1,3,3,1,1,3,3,3,2,3,1,1,1,1,3,1,1,2,1,2,3,3,1,3,1,NA,2,2,1,3,3,1,1,2,1,1,3,1,1,2,2,1,3,1,2,3,2,1
"3575",1,1,1,1,1,1,1,1,1,1,1,NA,1,2,1,1,3,3,1,3,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1
"3578",NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1
"3586",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,NA,1,1,NA,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1
"3589",2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,NA,1,1,NA,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,NA
"3594",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,1,1
